date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-03-21,902,8616,5817044,675.144382544104,31977941.3043478919077205472,0.26186790505676,0.07999259239621554247313697652,0.1,0.0305469249386927,507.5,155.0256440638654525,43080,15.0205403327726,13159.61526358881516,43080,13159.61526358881516,15.86409845,280.29316126201724,0.0002747474649327892,0.305469249386927,,123.56517385333312,104684649.49754263,1938,1785,6598840.13036468,2015742.741446830310846934538,3696.8292046861,1129.267642267133281420478615,193.1344531,58.9966364192116564346237,6598840.13036468,2015742.741446830310846934538,0.05915297564744901,0.09905456189376276,0.07385262204992196
2017-03-22,613,8628,5736709,664.89441353732,29901458.16253103404644411823,0.27843137254902,0.079496716786291092359363604,0.1,0.02855163771902,326.6,93.24964879031932,43140,15.0352849096442,12317.176511985228,43140,12317.176511985228,52.29189957,250.68318297093853,0.0002752488863044088,0.2855163771902,,120.65924193131916,104727646.29754263,1173,1016,2002750.84954067,571818.166975447424135225434,1971.70359206759,562.953666500042259132685618,118.65,33.87651815361723,2003250.84954067,571960.925164042524135225434,0.05936648339529767,0.09945277648224782,0.0745345110036665
2017-03-23,495,8603,5713008,664.071602929211,27879057.88964826052717066878,0.446497461928934,0.1188111928661011032883653859,0.1,0.0266096009488653,439.8,117.0290249731095894,43015,14.9855628590937,11446.119848154408795,43015,11446.119848154408795,100.45208404,229.14246965482997,0.00025880474072293764,0.266096009488653,,101.76144064918576,104770672.59754263,985,707,1042991.52774752,277535.8834640887706560888906,1475.23554136849,392.554290613987860352746744,71.64031,19.06320060953004240243,1042991.52774752,277535.8834640887706560888906,0.05959259323859147,0.10101029144775918,0.07517809197460501
2017-03-24,475,8626,5702056,661.031300718757,27316264.82826645543206623587,0.343695652173913,0.08957263346544546823408096304,0.1,0.0260616137850126,316.2,82.4068227882098412,43130,15.0193906271302,11240.37402547593438,43130,11240.37402547593438,138.48393783,221.7622409170534,0.00027871490963870307,0.260616137850126,,99.66291773775751,104814172.49754263,920,741,756868.80471367,197252.2247437179159688034224,1021.41539097661,266.1973343370005362249515529,9.90609015,2.5816869560881753448589,756868.80471367,197252.2247437179159688034224,0.05961057408311884,0.10114869811989986,0.07526990829147187
2017-03-25,581,8629,5677458,657.950863367714,28405844.34578100500542043447,0.284304047384008,0.07701805976056165466301494425,0.1,0.0270900328255031,288,78.019294537448928,43145,15.0184518365469,11687.994662563312495,43145,11687.994662563312495,115.95145099,226.38392842251267,0.00027969871875128217,0.270900328255031,,99.7739440587652,104857179.49754263,1013,887,904319.68381681,244980.4991934596741971648711,1060.94961727036,287.4115995805900305201571812,6.41344327,1.73740388708801941059137,941062.31051881,254934.0888279835412836026331,0.059628325690325376,0.10115161029462101,0.07501401241239557
2017-03-26,650,8481,5704392,672.608418818536,28369909.51768426088058489308,0.175983717774763,0.04759448247438415552016202905,0.1,0.0270448215756523,259.4,70.1542671672420662,42405,14.7548942742747,11468.356589155357815,42405,11468.356589155357815,148.4071172,223.61263084100815,0.00028085150175336047,0.270448215756523,,101.77773647870589,104899599.49754263,1474,1353,706836.71695632,191162.7289320352105907460754,522.421815932239,141.288047991156717957890245,5.15116417,1.39312315884543072138091,706836.71695632,191162.7289320352105907460754,0.05962859785895091,0.10104985029684704,0.07490197577391627
2017-03-27,588,8538,5645638,661.236589365191,31079343.54863396599043325511,0.25719591457753,0.07617005182977600996323620591,0.1,0.0296155761085447,277,82.035145820668819,42690,14.8479797800366,12642.88944073773243,42690,12642.88944073773243,70.61627092,240.29075311978355,0.00028396807894237385,0.296155761085447,,125.62442739333315,104942559.39754263,1077,920,1486096.02340812,440115.8988584880390914736296,1615.32176457404,478.3868465853120558619979959,9.998471935,2.961105065601406966429945,1486096.02340812,440115.8988584880390914736296,0.0600047639348673,0.10141857717661443,0.07561422252793198
2017-03-28,285,8543,5547366,649.346365445394,32047268.96029531719350129824,0.285860655737705,0.08726056547493984264390149349,0.1,0.0305255598220578,139.5,42.583155951770631,42715,14.8506645179765,13038.99287799198927,42715,13038.99287799198927,126.20876794,244.40887885053976,0.0002920650828553039,0.305255598220578,,133.99929149751793,104985032.69754263,488,445,831836.28528601,253922.6828865643677197975138,1869.29502311463,570.6127705316055608073188561,54.15,16.5295906436442987,831836.28528601,253922.6828865643677197975138,0.0600396967896181,0.10122396084119195,0.07565175700935567
2017-03-29,417,8604,5608108,651.802417480242,35734081.00342392259261448529,0.252127659574468,0.08578235198104889657584671436,0.1,0.034023380110627,165.9,56.444787603530193,43020,14.9505823714876,14636.8581235917354,43020,14636.8581235917354,90.43819417,265.0050682573113,0.00032724586567771196,0.34023380110627,,171.86634253276148,105028015.69754263,658,608,1161323.67155213,395121.5670868706261219748551,1910.07182821074,649.8709984981424324066953398,19.48969,6.6310513110828593563,1161323.67155213,395121.5670868706261219748551,0.060566828757111064,0.10135923466504525,0.07653132022364581
2017-03-30,620,8497,5689421,669.579969400965,35360358.00234935509092573131,0.401720269259536,0.1351944371453068859040688936,0.1,0.0336538749698893,537.1,180.7549624632754303,42485,14.7586594137501,14297.848780957469105,42485,14297.848780957469105,89.19764644,255.3274872499791,0.000324222302639445,0.336538749698893,,196.64962957008103,105070688.09754263,1337,1150,1177953.59282051,396427.0293311333372890946954,1025.17703723523,345.0117983311597780117116004,6.10693761,2.05522114775854583706573,1178953.59282051,396763.5680808322302890946954,0.06055812872829903,0.09867225741546376,0.07659219546482307
2017-03-31,389,8610,5620823,652.824970963995,32657925.95202019068755770273,0.323410404624277,0.100480390088477203499925993,0.1,0.0310690035483585,223.8,69.532429941226323,43050,14.9487453895107,13375.20602756833425,43050,13375.20602756833425,128.10309411,231.58658064790268,0.0002872122888219928,0.310690035483585,,200.39029905447254,105114172.39754263,692,578,820543.58739559,254934.7162837639866563463902,1419.62558372939,441.0635229822892475364270632,28.736643405,8.928188759178578876006925,820543.58739559,254934.7162837639866563463902,0.060821371342862494,0.09813373970408784,0.077469491360953
