date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-11-28,10774,4193,9260187,2208.48724063916,3800754382.29037,0.00012965124599226843,0,4.207312583695103,0,0,0,0,0,2.41903309,1.7762549227658608,0.003826701646590136,38.0075438229037,,36.966901943190756,100000000,32451,19943,41338831,1571187430.8201099835747,2286.54495311638,86905.95750861009899013563261,30,1140.226314687111,45600566,1733165510.5942124834942,,0.08649491755258099,0.07671620116143785
2017-11-29,11494,4132,9503916,2300.07647628267,3251427035.89813,0.00007160330086673987,0,2.4140336854212676,0,0,0,0,0,3.58784952,1.5399481149754695,0.003317773362102537,32.5142703589813,,13.44740024706862,100000000,33714,21398,27871849,906232833.7907025874237,1495.92952612394,48639.05705037656462015594232,30,975.428110769439,32009900,1040778542.76395551487,,0.0915486700293687,0.07587702894450238
2017-11-30,9161,4086,8427376,2062.50024473813,3284504781.95916,0.000015838065955737846,0,0.45648473697627595,0,0,0,0,0,4.00076383,1.5759142782776414,0.003285584105555137,32.8450478195916,,14.825717371504233,100000000,28822,17812,24995227,820969426.0765470892932,1590.75853357287,52248.54010462432481953223989,30,985.351434587748,28334591,930650996.3435697730356,,0.09154720037477675,0.07568713944105998
2017-12-01,9297,4062,8571260,2110.10832102413,3573362730.52838,0.0007015322026810107,0,20.813057389140315,0,0,0,0,0,5.60297792,1.7655067808808842,0.0033059270103449577,35.7336273052838,,32.42356687556635,100000000,29668,17581,17847652,637761344.8424030236376,1234.94221034071,44128.9646878783248083812435,30,1072.008819158514,21711519,775831328.1775880240922,,0.09186950164155315,0.0764034736403905
2017-12-02,8781,4087,8307816,2032.74186444825,3513617211.97996,0.00002227574093273325,0,0.6335443478678658,0,0,0,0,0,6.8716177,1.77562079189542,0.003213225607443543,35.1361721197996,,42.91934952306206,100000000,28441,16185,14552614,511323150.2970053361544,1104.55650293482,38809.88740316176753803026207,29,1018.9489914741884,17877247,628138027.6201710397012,,0.08997091095801,0.07551751028741457
2017-12-03,11814,3898,9513315,2440.56310928681,3710966847.03248,0.00006957315781864934,0,2.2198011733618257,0,0,0,0,0,7.37740324,1.9299963642459614,0.003309243645208147,37.1096684703248,,38.870039655720234,100000000,31906,18645,13554905,503018030.696747983144,936.20632877447,34742.30648064048291554684786,29,1076.1803856394192,17455567,647770304.3315420581616,,0.08933422805613388,0.07527525829202726
2017-12-04,12641,3904,10055206,2575.61629098361,4211374281.78095,0.00007380211718259031,0,2.686618471797834,0,0,0,0,0,3.52626692,2.2256674366431697,0.0036423866569257855,42.1137428178095,,59.00971117633594,100000000,36403,22328,28358602,1194286871.300618122319,1473.6453332139,62060.72056763536854679295205,30,1263.412284534285,32903553,1385691768.8341642271535,,0.09168596278616006,0.07680299548643982
2017-12-05,10320,3914,8632293,2205.49131323454,3894435750.91588,0.0007541283258034493,0,23.18190473519803,0,0,0,0,0,13.23059337,2.091869500408915,0.0033181540046028375,38.9443575091588,,47.93831725951805,100000000,30740,17693,7558240,294350800.700024408512,668.147346408184,26020.56912731608653806327562,27,1051.4976527472876,11821531,460381929.5696035381228,,0.09320457532544824,0.07746196363076606
2017-12-06,11590,3922,9093741,2318.6489036206,3593794774.86005,0.000050669009032145446,0,1.6382304000273264,0,0,0,0,0,7.14030856,2.383810237457996,0.0025684396689829945,35.9379477486005,,35.97884676597138,100000000,32332,20473,14004997,503310850.4053067566985,860.157573389342,30912.29792802917267892211587,25,898.4486937150125,17610006,632867475.480541296603,,0.09474622156688349,0.07769256844543235
2017-12-07,17206,3854,9995667,2593.58251167618,3451129493.10309,0.000051733255391243954,0,1.6509116460453765,0,0,0,0,0,6.72555201,2.500751962374643,0.002026227130333134,34.5112949310309,,31.390340013547092,100000000,31912,19373,14868668,513136986.5795813498412,951.689258246013,32844.0286740221855959399048,27,931.8049631378343,18437076,636287367.5018314616484,,0.09515780142277501,0.07641810144675298
2017-12-08,10264,3874,23434855,6049.2656169334,3672477612.61669,0.00007966051531555818,0,5.324907146268483,0,0,0,0,0,2.43366984,2.823913046315694,0.002253262855810328,36.7247761261669,,18.10087528961176,100000000,66845,16845,41090208,1509028689.7776321637152,2674.02825764322,98203.08911699139819796637342,28,1028.2937315326732,45044006,1654231036.1757186006014,,0.09088236191273964,0.07588801492915057
2017-12-09,9569,3785,24420676,6451.96195508587,3619950136.38381,0.000024985714086810234,0,1.8259809711781783,0,0,0,0,0,3.57527927,3.1428004609784916,0.0024052789739570707,36.1995013638381,,13.759046500208335,100000000,73081,17798,27969843,1012494369.8248375344183,1731.60141588943,62683.10781611340628895002128,25,904.9875340959525,30819042,1115633952.9111836851002,,0.0908908795546465,0.07591698149005857
2017-12-10,8345,3912,7673406,1961.50460122699,3350848592.58877,0.0001273843958277949,0,3.302695230627237,0,0,0,0,0,14.28168277,3.0418830256971385,0.00216533033375788,33.5084859258877,,18.24341599717341,100000000,25927,15350,7001976,234625614.2494034540952,651.660651465798,21836.16176809650206219933888,24,804.2036622213048,10002991,335185083.1402813301107,,0.08938937710796492,0.07652035804770271
2017-12-11,9897,3924,8649173,2204.17252803262,3581719713.96176,0.00007431288173712998,0,2.267880524853732,0,0,0,0,0,8.72114218,3.339364115024801,0.0021226895333832574,35.8171971396176,,25.655750248280647,100000000,30518,18326,11466388,410693879.4753455732288,825.014569464149,29549.70947755416332397076942,25,895.42992849044,15119217,541527975.8856577914192,,0.09008164841353915,0.07625338235949868
2017-12-12,11860,3823,9833735,2572.2560816113,4137701261.92743,0.2664485822629882,0,9472.513548031518,0,0,0,0,0,15.57752748,3.9606436888745495,0.0023733610762084454,41.3770126192743,,54.95102940706232,100000000,35551,21917,6419504,265619898.0174818459472,478.01469179176,19778.81993446616867017791977,25,1034.4253154818575,10476648,433492396.5036948565464,,0.09233260664757416,0.0781598940845456
2017-12-13,15854,3781,11738750,3104.66807722825,4543543061.29309,0.00010517707746158551,0,4.569628484473505,0,0,0,0,0,4.38911873,4.354750226983546,0.002751135989471118,45.4354306129309,,59.40936075689671,100000000,43447,28523,22783617,1035183449.3150928730653,948.139150860709,43079.11060033496658216014201,26,1181.3211959362034,27043773,1228745471.6533541242857,,0.09301142653366216,0.07849064041718054
2017-12-14,14974,3894,11773276,3023.44016435542,5099087434.06873,0.00009916835089974058,0,4.423007618479329,0,0,0,0,0,3.08395554,4.943388170037848,0.003071204213909993,50.9908743406873,,71.54057678445962,100000000,44601,29203,32425889,1653424431.3840745735097,1270.11988494333,64764.52345075355144807375071,23,1172.7901098358079,37091311,1891318378.3323525980503,,0.09468005503285105,0.07969263968016668
2017-12-15,12818,3455,12281791,3554.78755426917,4810609753.17064,0.00006897595150090242,0,2.9436177062525104,0,0,0,0,0,2.95941106,4.729794951436671,0.0027175512161820535,48.1060975317064,,63.23155982299301,100000000,42676,26687,33790507,1625529425.3878078311448,1399.92741784389,67345.0449001080708004005139,21,1010.2280481658344,37359863,1797237213.2491892602232,,0.09559018645632253,0.08015264711900244
2017-12-16,11947,3263,10420022,3193.38706711615,4962488674.99297,0.00009792073944111275,0,3.725590373516015,0,0,0,0,0,3.60297584,4.937166076403488,0.0025266592841986916,49.6248867499297,,73.40974127251924,100000000,38047,24514,27754835,1377330543.6379850850995,1282.84294688749,63660.93595723777238259130945,20,992.497734998594,31447612,1560584184.0557302328764,,0.0952294406422252,0.07919633359443229
2017-12-17,35130,3437,21710754,6316.77451265639,6800185240.06594,0.0001125045861711682,0,6.6700594003300475,0,0,0,0,0,4.67908124,6.860546074438661,0.0035324779446525433,68.0018524006594,,69.3870680851475,100000000,59287,38540,21371717,1453316344.9826633101898,682.713777893098,46425.80155618301463987790882,23,1564.0426052151662,26311789,1789250391.9752935936666,,0.09256763835655278,0.08800298679441526
